pos_single;pos_context;base_single;base_context;orth_single;orth_context;number_single;number_context;case_single;case_context;gender_single;gender_context;rel_tok_distance;pos_between;phrase_type;sumo_concept;synset_id;sumo_concept_bs;synset_id_bs;pos_context_bs;base_context_bs;orth_context_bs;number_context_bs;case_context_bs;gender_context_bs;pos_context_bow;base_context_bow;orth_context_bow;number_context_bow;case_context_bow;gender_context_bow;synset_id_bow;first_predicate;second_predicate;relation_name
"ger;subst";"NONENONENONENONEsubst;substsubstpraetadjsubst";"uczcić;pamięć";"NONE;NONE;NONE;NONE;propozycja;pamięć;ofiara;złożyć;były;Marszałek";"uczczenia;pamięci";"NONE;NONE;NONE;NONE;Propozycję;pamięci;ofiar;złożył;były;marszałek";"sg;sg";"sg;sgplsgsgsg";"gen;gen";"acc;gengen_nomnom";"n;f";"f;ffm1m1m1";1;;chunk_np;NONE_equivalent:Remembering;"NONE;8163";NONE_equivalent:Remembering;"NONE;8163";"NONENONENONENONEsubst;substsubstpraetadjsubst";"NONE;NONE;NONE;NONE;propozycja;pamięć;ofiara;złożyć;były;Marszałek";"NONE;NONE;NONE;NONE;Propozycję;pamięci;ofiar;złożył;były;marszałek";"sg;sgplsgsgsg";"acc;gengen_nomnom";"f;ffm1m1m1";"NONENONENONENONEsubst;substsubstpraetadjsubst";"NONE;NONE;NONE;NONE;propozycja;pamięć;ofiara;złożyć;były;Marszałek";"NONE;NONE;NONE;NONE;Propozycję;pamięci;ofiar;złożył;były;marszałek";"sg;sgplsgsgsg";"acc;gengen_nomnom";"f;ffm1m1m1";"NONE;8163";"0;0";"0;0";"undergoer;patient"
"ppas;subst";"NONENONEprepsubstpraet;adjsubstprepsubstinterp";"uruchomić;infolinia";"NONE;NONE;w;Londyn;zostać;specjalny;infolinia;dla;Polak;,";"uruchomiona;infolinia";"NONE;NONE;W;Londynie;została;specjalna;infolinia;dla;Polaków;,";"sg;sg";"_sgsg;sgsg_pl_";"nom;nom";"locloc_;nomnomgengen_";"f;f";"_m3f;ff_m1_";2;adj;?;NONE_subsumed:FinancialTransaction;"65747;41570";NONE_subsumed:FinancialTransaction;"65747;41570";"NONENONEprepsubstpraet;adjsubstprepsubstinterp";"NONE;NONE;w;Londyn;zostać;specjalny;infolinia;dla;Polak;,";"NONE;NONE;W;Londynie;została;specjalna;infolinia;dla;Polaków;,";"_sgsg;sgsg_pl_";"locloc_;nomnomgengen_";"_m3f;ff_m1_";"NONENONEprepsubstpraet;adjsubstprepsubstinterp";"NONE;NONE;w;Londyn;zostać;specjalny;infolinia;dla;Polak;,";"NONE;NONE;W;Londynie;została;specjalna;infolinia;dla;Polaków;,";"_sgsg;sgsg_pl_";"locloc_;nomnomgengen_";"_m3f;ff_m1_";"65747;41570";"0;0";"0;0";"undergoer;patient"
"pact;subst";"substsubstinterpinterpsubst;qubsubstconjgersubst";"zajmować;organizacja";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"zajmująca;organizacja";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sg;sg";"sgsg__sg;_sg_sgpl";"nom;nom";"nomnom__nom;_inst_instgen";"f;f";"m3m3__f;_f_nf";1;;chunk_np;NONE_equivalent:Organization;"1110;7650";NONE_equivalent:Organization;"1110;7650";"substsubstinterpinterpsubst;qubsubstconjgersubst";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sgsg__sg;_sg_sgpl";"nomnom__nom;_inst_instgen";"m3m3__f;_f_nf";"substsubstinterpinterpsubst;qubsubstconjgersubst";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sgsg__sg;_sg_sgpl";"nomnom__nom;_inst_instgen";"m3m3__f;_f_nf";"1110;7650";"0;0";"0;1";"actor;agent"
"pact;subst";"substsubstinterpinterpsubst;qubsubstconjgersubst";"zajmować;ocena";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"zajmująca;oceną";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sg;sg";"sgsg__sg;_sg_sgpl";"nom;inst";"nomnom__nom;_inst_instgen";"f;f";"m3m3__f;_f_nf";2;qub;chunk_np;"NONE_subsumed:Classifying;subsumed:Comparing";"1110;2030";"NONE_subsumed:Classifying;subsumed:Comparing";"1110;2030";"substsubstinterpinterpsubst;qubsubstconjgersubst";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sgsg__sg;_sg_sgpl";"nomnom__nom;_inst_instgen";"m3m3__f;_f_nf";"substsubstinterpinterpsubst;qubsubstconjgersubst";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sgsg__sg;_sg_sgpl";"nomnom__nom;_inst_instgen";"m3m3__f;_f_nf";"1110;2030";"0;0";"0;0";undergoer
"pact;ger";"substsubstinterpinterpsubst;qubsubstconjgersubst";"zajmować;wyznaczać";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"zajmująca;wyznaczaniem";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sg;sg";"sgsg__sg;_sg_sgpl";"nom;inst";"nomnom__nom;_inst_instgen";"f;n";"m3m3__f;_f_nf";4;qubsubstconj;chunk_np;NONE_NONE;"1110;NONE";NONE_NONE;"1110;NONE";"substsubstinterpinterpsubst;qubsubstconjgersubst";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sgsg__sg;_sg_sgpl";"nomnom__nom;_inst_instgen";"m3m3__f;_f_nf";"substsubstinterpinterpsubst;qubsubstconjgersubst";"rating;board;);–;organizacja;się;ocena;oraz;wyznaczać;granica";"Rating;Board;);–;organizacja;się;oceną;oraz;wyznaczaniem;granic";"sgsg__sg;_sg_sgpl";"nomnom__nom;_inst_instgen";"m3m3__f;_f_nf";"1110;NONE";"0;0";"0;0";undergoer
"ger;subst";"substpactqubsubstconj;substadjprepppasprep";"wyznaczać;granica";"organizacja;zajmować;się;ocena;oraz;granica;wiekowy;dla;wydawać;w";"wyznaczaniem;granic";"organizacja;zajmująca;się;oceną;oraz;granic;wiekowych;dla;wydawanych;w";"sg;pl";"sgsg_sg_;plpl_pl_";"inst;gen";"nomnom_inst_;gengengengenloc";"n;f";"ff_f_;ff_m1_";1;;chunk_np;NONE_subsumed:Attribute;"NONE;7979";NONE_subsumed:Attribute;"NONE;7979";"substpactqubsubstconj;substadjprepppasprep";"organizacja;zajmować;się;ocena;oraz;granica;wiekowy;dla;wydawać;w";"organizacja;zajmująca;się;oceną;oraz;granic;wiekowych;dla;wydawanych;w";"sgsg_sg_;plpl_pl_";"nomnom_inst_;gengengengenloc";"ff_f_;ff_m1_";"substpactqubsubstconj;substadjprepppasprep";"organizacja;zajmować;się;ocena;oraz;granica;wiekowy;dla;wydawać;w";"organizacja;zajmująca;się;oceną;oraz;granic;wiekowych;dla;wydawanych;w";"sgsg_sg_;plpl_pl_";"nomnom_inst_;gengengengenloc";"ff_f_;ff_m1_";"NONE;7979";"0;0";"0;0";"undergoer;patient"
"ppas;subst";"conjgersubstadjprep;prepsubstsubstadjconj";"wydawać;gra";"oraz;wyznaczać;granica;wiekowy;dla;w;USA;gra;komputerowy;i";"wydawanych;gier";"oraz;wyznaczaniem;granic;wiekowych;dla;w;USA;gier;komputerowych;i";"pl;pl";"_sgplpl_;_plplpl_";"gen;gen";"_instgengengen;loclocgengen_";"m1;f";"_nff_;_nff_";3;prepsubst;chunk_np;NONE_subsumed:Game;"3652;3187";NONE_subsumed:Game;"3652;3187";"conjgersubstadjprep;prepsubstsubstadjconj";"oraz;wyznaczać;granica;wiekowy;dla;w;USA;gra;komputerowy;i";"oraz;wyznaczaniem;granic;wiekowych;dla;w;USA;gier;komputerowych;i";"_sgplpl_;_plplpl_";"_instgengengen;loclocgengen_";"_nff_;_nff_";"conjgersubstadjprep;prepsubstsubstadjconj";"oraz;wyznaczać;granica;wiekowy;dla;w;USA;gra;komputerowy;i";"oraz;wyznaczaniem;granic;wiekowych;dla;w;USA;gier;komputerowych;i";"_sgplpl_;_plplpl_";"_instgengengen;loclocgengen_";"_nff_;_nff_";"3652;3187";"0;0";"0;1";"undergoer;patient"
"subst;adj";"interppraetsubstadjadj;substsubstsubstinterpsubst";"gra;popularny";",;zmienić;kategoria;wiekowy;popularny;grand;theft;auto;:;San";"gry;popularnej";",;zmieniła;kategorię;wiekową;popularnej;Grand;Theft;Auto;:;San";"sg;sg";"_sgsgsgsg;sgsgsg_sg";"gen;gen";"__accaccgen;nomnomnom_nom";"f;f";"_ffff;m1nn_m3";1;;chunk_np;subsumed:Game_R:SubjectiveWeakPositiveAttribute;"3187;105559";subsumed:Game_R:SubjectiveWeakPositiveAttribute;"3187;105559";"interppraetsubstadjadj;substsubstsubstinterpsubst";",;zmienić;kategoria;wiekowy;popularny;grand;theft;auto;:;San";",;zmieniła;kategorię;wiekową;popularnej;Grand;Theft;Auto;:;San";"_sgsgsgsg;sgsgsg_sg";"__accaccgen;nomnomnom_nom";"_ffff;m1nn_m3";"interppraetsubstadjadj;substsubstsubstinterpsubst";",;zmienić;kategoria;wiekowy;popularny;grand;theft;auto;:;San";",;zmieniła;kategorię;wiekową;popularnej;Grand;Theft;Auto;:;San";"_sgsgsgsg;sgsgsg_sg";"__accaccgen;nomnomnom_nom";"_ffff;m1nn_m3";"3187;105559";"0;0";"1;0";attribute
"subst;adj";"substinterpadjpraetadj;interpNONENONENONENONE";"oznaczenie;wysoki";"gra;,;który;uzyskać;wysoki;.;NONE;NONE;NONE;NONE";"oznaczenie;najwyższe";"grą;,;która;uzyskała;najwyższe;.;NONE;NONE;NONE;NONE";"sg;sg";"sg_sgsgsg;_";"acc;acc";"inst_nom_acc;_";"n;n";"f_ffn;_";1;;chunk_np;"NONE_subsumed:SubjectiveWeakNegativeAttribute;subsumed:SubjectiveStrongNegativeAttribute";"86608;435485";"NONE_subsumed:SubjectiveWeakNegativeAttribute;subsumed:SubjectiveStrongNegativeAttribute";"86608;435485";"substinterpadjpraetadj;interpNONENONENONENONE";"gra;,;który;uzyskać;wysoki;.;NONE;NONE;NONE;NONE";"grą;,;która;uzyskała;najwyższe;.;NONE;NONE;NONE;NONE";"sg_sgsgsg;_";"inst_nom_acc;_";"f_ffn;_";"substinterpadjpraetadj;interpNONENONENONENONE";"gra;,;który;uzyskać;wysoki;.;NONE;NONE;NONE;NONE";"grą;,;która;uzyskała;najwyższe;.;NONE;NONE;NONE;NONE";"sg_sgsgsg;_";"inst_nom_acc;_";"f_ffn;_";"86608;435485";"1;0";"0;0";attribute
"subst;adj";"NONENONENONENONEadj;substinterpsubstinterjconj";"wersja;poprzedni";"NONE;NONE;NONE;NONE;poprzedni;gra;(;gta;iii;i";"wersje;Poprzednie";"NONE;NONE;NONE;NONE;Poprzednie;gry;(;GTA;III;i";"pl;pl";"pl;sg_sg__";"nom;nom";"nom;gen_nom__";"f;f";"f;f_m1__";1;;chunk_np;subsumed:Process_NONE;"2072;400809";subsumed:Process_NONE;"2072;400809";"NONENONENONENONEadj;substinterpsubstinterjconj";"NONE;NONE;NONE;NONE;poprzedni;gra;(;gta;iii;i";"NONE;NONE;NONE;NONE;Poprzednie;gry;(;GTA;III;i";"pl;sg_sg__";"nom;gen_nom__";"f;f_m1__";"NONENONENONENONEadj;substinterpsubstinterjconj";"NONE;NONE;NONE;NONE;poprzedni;gra;(;gta;iii;i";"NONE;NONE;NONE;NONE;Poprzednie;gry;(;GTA;III;i";"pl;sg_sg__";"nom;gen_nom__";"f;f_m1__";"2072;400809";"0;0";"0;0";attribute
"ppas;subst";"NONENONENONEsubstfin;substsubstsubstsubstinterp";"spowodować;wystąpienie";"NONE;NONE;NONE;zmiana;być;wystąpienie;senator;Hillary;Clinton;,";"spowodowana;wystąpieniem";"NONE;NONE;NONE;Zmiana;jest;wystąpieniem;senator;Hillary;Clinton;,";"sg;sg";"sgsg;sgsgsgsg_";"nom;inst";"nom_;instnomnomnom_";"f;n";"f_;nm1m1m1_";1;;chunk_np;NONE_subsumed:VisualAttribute;"55706;101101";NONE_subsumed:VisualAttribute;"55706;101101";"NONENONENONEsubstfin;substsubstsubstsubstinterp";"NONE;NONE;NONE;zmiana;być;wystąpienie;senator;Hillary;Clinton;,";"NONE;NONE;NONE;Zmiana;jest;wystąpieniem;senator;Hillary;Clinton;,";"sgsg;sgsgsgsg_";"nom_;instnomnomnom_";"f_;nm1m1m1_";"NONENONENONEsubstfin;substsubstsubstsubstinterp";"NONE;NONE;NONE;zmiana;być;wystąpienie;senator;Hillary;Clinton;,";"NONE;NONE;NONE;Zmiana;jest;wystąpieniem;senator;Hillary;Clinton;,";"sgsg;sgsgsgsg_";"nom_;instnomnomnom_";"f_;nm1m1m1_";"55706;101101";"0;1";"0;0";actor
"subst;subst";"NONENONEsubstfinppas;substsubstsubstinterpadj";"wystąpienie;senator";"NONE;NONE;zmiana;być;spowodować;senator;Hillary;Clinton;,;który";"wystąpieniem;senator";"NONE;NONE;Zmiana;jest;spowodowana;senator;Hillary;Clinton;,;która";"sg;sg";"sgsgsg;sgsgsg_sg";"inst;nom";"nom_nom;nomnomnom_nom";"n;m1";"f_f;m1m1m1_f";1;;chunk_np;"subsumed:VisualAttribute_subsumed:SocialRole;subsumed:Human";"101101;240735";"subsumed:VisualAttribute_subsumed:SocialRole;subsumed:Human";"101101;240735";"NONENONEsubstfinppas;substsubstsubstinterpadj";"NONE;NONE;zmiana;być;spowodować;senator;Hillary;Clinton;,;który";"NONE;NONE;Zmiana;jest;spowodowana;senator;Hillary;Clinton;,;która";"sgsgsg;sgsgsg_sg";"nom_nom;nomnomnom_nom";"f_f;m1m1m1_f";"NONENONEsubstfinppas;substsubstsubstinterpadj";"NONE;NONE;zmiana;być;spowodować;senator;Hillary;Clinton;,;który";"NONE;NONE;Zmiana;jest;spowodowana;senator;Hillary;Clinton;,;która";"sgsgsg;sgsgsg_sg";"nom_nom;nomnomnom_nom";"f_f;m1m1m1_f";"101101;240735";"1;0";"0;0";"actor;agent"
"ger;subst";"NONEpraetppron3prepadj;prepsubstsubstsubstadj";"pozostawić;scena";"NONE;oskarżyć;on;o;celowy;w;koda;gra;scena;erotyczny";"pozostawienie;scen";"NONE;Oskarżyła;ich;o;celowe;w;kodzie;gry;scen;erotycznych";"sg;pl";"sgpl_sg;_sgsgplpl";"acc;gen";"_accaccacc;loclocgengengen";"n;f";"fm1_n;_ffff";4;prepsubstsubst;chunk_np;NONE_subsumed:MotionPictureShot;"NONE;15117";NONE_subsumed:MotionPictureShot;"NONE;15117";"NONEpraetppron3prepadj;prepsubstsubstsubstadj";"NONE;oskarżyć;on;o;celowy;w;koda;gra;scena;erotyczny";"NONE;Oskarżyła;ich;o;celowe;w;kodzie;gry;scen;erotycznych";"sgpl_sg;_sgsgplpl";"_accaccacc;loclocgengengen";"fm1_n;_ffff";"NONEpraetppron3prepadj;prepsubstsubstsubstadj";"NONE;oskarżyć;on;o;celowy;w;koda;gra;scena;erotyczny";"NONE;Oskarżyła;ich;o;celowe;w;kodzie;gry;scen;erotycznych";"sgpl_sg;_sgsgplpl";"_accaccacc;loclocgengengen";"fm1_n;_ffff";"NONE;15117";"0;0";"0;0";undergoer
"subst;adj";"infppasprepsubstadj;prepsubstsubstsubstsubst";"modyfikacja;specjalny";"być;odblokować;za;pomoc;specjalny;o;nazwa;hot;coffee;mod";"modyfikacji;specjalnej";"być;odblokowane;za;pomocą;specjalnej;o;nazwie;Hot;Coffee;Mod";"sg;sg";"_pl_sgsg;_sgsgsgsg";"gen;gen";"_nominstinstgen;loclocnomnomnom";"f;f";"_f_ff;_fm3m3m3";1;;chunk_np;equivalent:Process_subsumed:IntentionalProcess;"249650;3622";equivalent:Process_subsumed:IntentionalProcess;"249650;3622";"infppasprepsubstadj;prepsubstsubstsubstsubst";"być;odblokować;za;pomoc;specjalny;o;nazwa;hot;coffee;mod";"być;odblokowane;za;pomocą;specjalnej;o;nazwie;Hot;Coffee;Mod";"_pl_sgsg;_sgsgsgsg";"_nominstinstgen;loclocnomnomnom";"_f_ff;_fm3m3m3";"infppasprepsubstadj;prepsubstsubstsubstsubst";"być;odblokować;za;pomoc;specjalny;o;nazwa;hot;coffee;mod";"być;odblokowane;za;pomocą;specjalnej;o;nazwie;Hot;Coffee;Mod";"_pl_sgsg;_sgsgsgsg";"_nominstinstgen;loclocnomnomnom";"_f_ff;_fm3m3m3";"249650;3622";"0;0";"0;0";attribute
"ppas;subst";"substfininterpcompprep;substinterpsubstfinsubst";"nałożyć;limit";"senator;twierdzić;,;że;pomimo;limit;(;mature;oznaczać;osoba";"nałożonego;limitu";"Senator;twierdzi;,;że;pomimo;limitu;(;Mature;oznacza;osoby";"sg;sg";"sgsg___;sg_sgsgpl";"gen;gen";"nom___gen;gen_nom_acc";"m3;m3";"m1____;m3_f_f";1;;chunk_np;NONE_subsumed:ConstantQuantity;"52552;102940";NONE_subsumed:ConstantQuantity;"52552;102940";"substfininterpcompprep;substinterpsubstfinsubst";"senator;twierdzić;,;że;pomimo;limit;(;mature;oznaczać;osoba";"Senator;twierdzi;,;że;pomimo;limitu;(;Mature;oznacza;osoby";"sgsg___;sg_sgsgpl";"nom___gen;gen_nom_acc";"m1____;m3_f_f";"substfininterpcompprep;substinterpsubstfinsubst";"senator;twierdzić;,;że;pomimo;limit;(;mature;oznaczać;osoba";"Senator;twierdzi;,;że;pomimo;limitu;(;Mature;oznacza;osoby";"sgsg___;sg_sgsgpl";"nom___gen;gen_nom_acc";"m1____;m3_f_f";"52552;102940";"0;0";"0;1";"undergoer;patient"
"subst;adj";"interpsubstsubstinterpadj;finprepadjsubstinf";"człowiek;młody";".;rok;życie;);młody;móc;w;łatwy;sposób;nabyć";"ludzie;młodzi";".;roku;życia;);młodzi;mogą;w;łatwy;sposób;nabyć";"pl;pl";"_sgsg_pl;pl_sgsg_";"nom;nom";"_gengen_nom;_accaccacc_";"m1;m1";"_m3n_m1;__m3m3_";1;;chunk_np;"equivalent:Human;subsumed:Organism_equivalent:HumanYouth";"6047;1733";"equivalent:Human;subsumed:Organism_equivalent:HumanYouth";"6047;1733";"interpsubstsubstinterpadj;finprepadjsubstinf";".;rok;życie;);młody;móc;w;łatwy;sposób;nabyć";".;roku;życia;);młodzi;mogą;w;łatwy;sposób;nabyć";"_sgsg_pl;pl_sgsg_";"_gengen_nom;_accaccacc_";"_m3n_m1;__m3m3_";"interpsubstsubstinterpadj;finprepadjsubstinf";".;rok;życie;);młody;móc;w;łatwy;sposób;nabyć";".;roku;życia;);młodzi;mogą;w;łatwy;sposób;nabyć";"_sgsg_pl;pl_sgsg_";"_gengen_nom;_accaccacc_";"_m3n_m1;__m3m3_";"6047;1733";"0;0";"0;0";attribute
"ger;subst";"substpraetinterpcompprep;substfinadjinterpcomp";"przeprowadzić;śledztwo";"esrb;powiedzieć;,;że;po;śledztwo;być;przekonany;,;iż";"przeprowadzeniu;śledztwa";"ESRB;powiedziała;,;że;po;śledztwa;są;przekonani;,;iż";"sg;pl";"sgsg___;plplpl__";"loc;nom";"nom___loc;nom_nom__";"n;n";"m1f___;n_m1__";1;;chunk_np;NONE_subsumed:Investigating;"NONE;16011";NONE_subsumed:Investigating;"NONE;16011";"substpraetinterpcompprep;substfinadjinterpcomp";"esrb;powiedzieć;,;że;po;śledztwo;być;przekonany;,;iż";"ESRB;powiedziała;,;że;po;śledztwa;są;przekonani;,;iż";"sgsg___;plplpl__";"nom___loc;nom_nom__";"m1f___;n_m1__";"substpraetinterpcompprep;substfinadjinterpcomp";"esrb;powiedzieć;,;że;po;śledztwo;być;przekonany;,;iż";"ESRB;powiedziała;,;że;po;śledztwa;są;przekonani;,;iż";"sgsg___;plplpl__";"nom___loc;nom_nom__";"m1f___;n_m1__";"NONE;16011";"0;0";"0;0";undergoer
"ger;ppron3";"substfininterpconjppron3;finadjsubstprepsubst";"odblokować;on";"scena;być;,;ale;on;wymagać;znaczny;zmiana;w;koda";"odblokowanie;ich";"sceny;są;,;ale;ich;wymaga;znacznych;zmian;w;kodzie";"sg;pl";"plpl__pl;sgplpl_sg";"nom;gen";"nom___gen;_gengenlocloc";"n;f";"f___f;_ff_f";1;;chunk_np;NONE_NONE;"NONE;NONE";NONE_NONE;"NONE;NONE";"substfininterpconjppron3;finadjsubstprepsubst";"scena;być;,;ale;on;wymagać;znaczny;zmiana;w;koda";"sceny;są;,;ale;ich;wymaga;znacznych;zmian;w;kodzie";"plpl__pl;sgplpl_sg";"nom___gen;_gengenlocloc";"f___f;_ff_f";"substfininterpconjppron3;finadjsubstprepsubst";"scena;być;,;ale;on;wymagać;znaczny;zmiana;w;koda";"sceny;są;,;ale;ich;wymaga;znacznych;zmian;w;kodzie";"plpl__pl;sgplpl_sg";"nom___gen;_gengenlocloc";"f___f;_ff_f";"NONE;NONE";"0;0";"0;0";"undergoer;patient"
"subst;subst";"conjppron3gerfinadj;prepsubstsubstprepsubst";"zmiana;osoba";"ale;on;odblokować;wymagać;znaczny;w;koda;gra;przez;osoba";"zmian;osoby";"ale;ich;odblokowanie;wymaga;znacznych;w;kodzie;gry;przez;osoby";"pl;pl";"_plsgsgpl;_sgsg_pl";"gen;acc";"_gennom_gen;loclocgenaccacc";"f;f";"_fn_f;_ff_f";5;prepsubstsubstprep;chunk_np;"subsumed:Process_equivalent:Human;subsumed:Organism";"6561;6047";"subsumed:Process_equivalent:Human;subsumed:Organism";"6561;6047";"conjppron3gerfinadj;prepsubstsubstprepsubst";"ale;on;odblokować;wymagać;znaczny;w;koda;gra;przez;osoba";"ale;ich;odblokowanie;wymaga;znacznych;w;kodzie;gry;przez;osoby";"_plsgsgpl;_sgsg_pl";"_gennom_gen;loclocgenaccacc";"_fn_f;_ff_f";"conjppron3gerfinadj;prepsubstsubstprepsubst";"ale;on;odblokować;wymagać;znaczny;w;koda;gra;przez;osoba";"ale;ich;odblokowanie;wymaga;znacznych;w;kodzie;gry;przez;osoby";"_plsgsgpl;_sgsg_pl";"_gennom_gen;loclocgenaccacc";"_fn_f;_ff_f";"6561;6047";"0;0";"1;0";"actor;agent"
"subst;subst";"NONEadjsubstpactprep;substfinsubstgerprep";"podmiana;plik";"NONE;jedyny;przeszkoda;występować;po;plik;być;konieczność;rozpocząć;od";"podmianie;plików";"NONE;Jedyną;przeszkodą;występującą;po;plików;jest;konieczność;rozpoczęcia;od";"sg;pl";"sgsgsg_;plsgsgsg_";"loc;gen";"instinstinstloc;gen_nomgengen";"f;m3";"fff_;m3_fn_";1;;chunk_np;"subsumed:Substituting_equivalent:FactualText;subsumed:Text";"239441;35864";"subsumed:Substituting_equivalent:FactualText;subsumed:Text";"239441;35864";"NONEadjsubstpactprep;substfinsubstgerprep";"NONE;jedyny;przeszkoda;występować;po;plik;być;konieczność;rozpocząć;od";"NONE;Jedyną;przeszkodą;występującą;po;plików;jest;konieczność;rozpoczęcia;od";"sgsgsg_;plsgsgsg_";"instinstinstloc;gen_nomgengen";"fff_;m3_fn_";"NONEadjsubstpactprep;substfinsubstgerprep";"NONE;jedyny;przeszkoda;występować;po;plik;być;konieczność;rozpocząć;od";"NONE;Jedyną;przeszkodą;występującą;po;plików;jest;konieczność;rozpoczęcia;od";"sgsgsg_;plsgsgsg_";"instinstinstloc;gen_nomgengen";"fff_;m3_fn_";"239441;35864";"0;0";"1;0";"undergoer;patient"
"ger;subst";"prepsubstsubstfinsubst;prepadjsubstinterpppas";"rozpocząć;gra";"po;podmiana;plik;być;konieczność;od;nowy;gra;(;zapisać";"rozpoczęcia;gry";"po;podmianie;plików;jest;konieczność;od;nowa;gry;(;zapisane";"sg;sg";"_sgplsgsg;_sgsg_pl";"gen;gen";"loclocgen_nom;gennomgen_nom";"n;f";"_fm3_f;_ff_m3";3;prepadj;chunk_np;NONE_subsumed:Game;"NONE;3187";NONE_subsumed:Game;"NONE;3187";"prepsubstsubstfinsubst;prepadjsubstinterpppas";"po;podmiana;plik;być;konieczność;od;nowy;gra;(;zapisać";"po;podmianie;plików;jest;konieczność;od;nowa;gry;(;zapisane";"_sgplsgsg;_sgsg_pl";"loclocgen_nom;gennomgen_nom";"_fm3_f;_ff_m3";"prepsubstsubstfinsubst;prepadjsubstinterpppas";"po;podmiana;plik;być;konieczność;od;nowy;gra;(;zapisać";"po;podmianie;plików;jest;konieczność;od;nowa;gry;(;zapisane";"_sgplsgsg;_sgsg_pl";"loclocgen_nom;gennomgen_nom";"_fm3_f;_ff_m3";"NONE;3187";"0;0";"0;1";"undergoer;theme"
"pact;subst";"prepsubstsubstinterpsubst;adjsubstpraetppasprep";"odblokowywać;plika";"w;wynik;zamieszanie;,;plika;seksualny;scena;zostać;wycofać;z";"odblokowujący;plik";"W;wyniku;zamieszania;,;plik;seksualne;sceny;został;wycofany;z";"pl;pl";"_sgsg_pl;plplsgsg_";"nom;gen";"loclocgen_gen;accacc_nomgen";"m1;f";"_m3n_f;ffm1m1_";1;;chunk_np;NONE_subsumed:PathologicProcess;"68953;38069";NONE_subsumed:PathologicProcess;"68953;38069";"prepsubstsubstinterpsubst;adjsubstpraetppasprep";"w;wynik;zamieszanie;,;plika;seksualny;scena;zostać;wycofać;z";"W;wyniku;zamieszania;,;plik;seksualne;sceny;został;wycofany;z";"_sgsg_pl;plplsgsg_";"loclocgen_gen;accacc_nomgen";"_m3n_f;ffm1m1_";"prepsubstsubstinterpsubst;adjsubstpraetppasprep";"w;wynik;zamieszanie;,;plika;seksualny;scena;zostać;wycofać;z";"W;wyniku;zamieszania;,;plik;seksualne;sceny;został;wycofany;z";"_sgsg_pl;plplsgsg_";"loclocgen_gen;accacc_nomgen";"_m3n_f;ffm1m1_";"68953;38069";"0;0";"0;0";"actor;cause"
"pact;subst";"prepsubstsubstinterpsubst;adjsubstpraetppasprep";"odblokowywać;scena";"w;wynik;zamieszanie;,;plika;seksualny;scena;zostać;wycofać;z";"odblokowujący;sceny";"W;wyniku;zamieszania;,;plik;seksualne;sceny;został;wycofany;z";"pl;pl";"_sgsg_pl;plplsgsg_";"nom;acc";"loclocgen_gen;accacc_nomgen";"m1;f";"_m3n_f;ffm1m1_";2;adj;chunk_np;NONE_subsumed:MotionPictureShot;"68953;15117";NONE_subsumed:MotionPictureShot;"68953;15117";"prepsubstsubstinterpsubst;adjsubstpraetppasprep";"w;wynik;zamieszanie;,;plika;seksualny;scena;zostać;wycofać;z";"W;wyniku;zamieszania;,;plik;seksualne;sceny;został;wycofany;z";"_sgsg_pl;plplsgsg_";"loclocgen_gen;accacc_nomgen";"_m3n_f;ffm1m1_";"prepsubstsubstinterpsubst;adjsubstpraetppasprep";"w;wynik;zamieszanie;,;plika;seksualny;scena;zostać;wycofać;z";"W;wyniku;zamieszania;,;plik;seksualne;sceny;został;wycofany;z";"_sgsg_pl;plplsgsg_";"loclocgen_gen;accacc_nomgen";"_m3n_f;ffm1m1_";"68953;15117";"0;0";"0;0";undergoer
